billing_id,policy_id,customer_id,payment_number,due_date,payment_date,amount_due,amount_paid,payment_status,late_fee,total_amount,payment_method,is_autopay,transaction_id
BIL0000001,POL005930,53994fb3-d091-4b2b-87ed-c01971d76707,1,2024-01-22,2024-01-20,1346.8799999999999,1346.8799999999999,Paid,0.0,1346.8799999999999,Bank Transfer,False,096a0b74-f634-4d6c-bf54-0f12422576da
BIL0000002,POL005930,53994fb3-d091-4b2b-87ed-c01971d76707,2,2024-07-20,2024-07-15,1346.8799999999999,1346.8799999999999,Paid,0.0,1346.8799999999999,Bank Transfer,False,265316ba-7a72-4210-9bb3-93749308cf66
BIL0000003,POL005930,53994fb3-d091-4b2b-87ed-c01971d76707,3,2025-01-16,2025-01-17,1346.8799999999999,1346.8799999999999,Paid,0.0,1346.8799999999999,Bank Transfer,False,ff5bd1a9-19f0-4921-bdce-2ce60fa6ca52
BIL0000004,POL004072,e7ad1edb-39c2-4d33-8f88-7098f211ae83,1,2024-12-30,2024-12-30,1573.51,1573.51,Paid,0.0,1573.51,Online Payment,False,74bebb89-c361-4ada-82cd-cafdbca4c58e
BIL0000005,POL003140,046b547a-fdb9-4985-8a67-239a7ab8514e,1,2024-01-24,2024-01-27,683.34,683.34,Paid,0.0,683.34,Online Payment,True,659eb383-a1b8-4cc4-bf6c-f9d3f65fcf47
BIL0000006,POL003140,046b547a-fdb9-4985-8a67-239a7ab8514e,2,2024-04-23,2024-05-13,683.34,683.34,Overdue,68.33,751.6700000000001,Online Payment,True,b3c22216-8863-4243-95a5-50dd537fe087
BIL0000007,POL003140,046b547a-fdb9-4985-8a67-239a7ab8514e,3,2024-07-22,2024-07-24,683.34,683.34,Paid,0.0,683.34,Online Payment,True,bd819a6d-8b95-430a-abba-65aa994355e0
BIL0000008,POL003140,046b547a-fdb9-4985-8a67-239a7ab8514e,4,2024-10-20,2024-11-03,683.34,683.34,Late,34.17,717.51,Online Payment,True,db990fd7-8d35-499e-ace0-0c47a146a138
BIL0000009,POL003140,046b547a-fdb9-4985-8a67-239a7ab8514e,5,2025-01-18,2025-01-13,683.34,683.34,Paid,0.0,683.34,Online Payment,True,64b76e29-aed7-4ceb-b344-e47ff8e0ac4f
BIL0000010,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,1,2022-11-01,2022-10-30,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,b557db4a-2c3b-42c9-a315-48e5a34cc3b1
BIL0000011,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,2,2022-12-01,2022-11-23,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,95774cbe-ffd1-4b69-9f0e-ac1718171e4c
BIL0000012,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,3,2022-12-31,,572.58,0.0,Failed,0.0,572.58,,True,
BIL0000013,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,4,2023-01-30,2023-02-12,572.58,572.58,Late,28.63,601.21,Bank Transfer,True,04caf6d7-d5b5-4dcf-9ac1-05163c93bef0
BIL0000014,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,5,2023-03-01,2023-02-26,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,e2ae8d71-0aa5-4c22-a5ed-50573d3a438b
BIL0000015,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,6,2023-03-31,2023-03-30,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,4cf8f6a1-a9df-4944-b355-eca1ed4ec2a4
BIL0000016,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,7,2023-04-30,2023-04-18,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,181f6d08-f06b-4d36-b841-0c5d41d5e34a
BIL0000017,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,8,2023-05-30,2023-06-06,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,8f2f3032-a88a-4051-a169-e33711b33082
BIL0000018,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,9,2023-06-29,2023-07-05,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,2978753f-f789-4d79-9610-faaf6c91da1e
BIL0000019,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,10,2023-07-29,2023-07-29,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,4ba69789-d08c-489c-be1f-a3133e2d09ce
BIL0000020,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,11,2023-08-28,2023-08-29,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,6d78fb80-2c9b-4d94-8ac8-7187c3b2f3ec
BIL0000021,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,12,2023-09-27,2023-09-21,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,3ef12f5d-4676-4554-9c7a-410a9350ad13
BIL0000022,POL005489,ea9e7973-4f41-4d86-98d7-5aba8b0b69a3,13,2023-10-27,2023-10-22,572.58,572.58,Paid,0.0,572.58,Bank Transfer,True,04f625f3-55a3-46f3-ae00-f3a5561e177e
BIL0000023,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,1,2020-10-04,2020-09-26,152.61,152.61,Paid,0.0,152.61,Online Payment,True,67555bac-8604-403c-8dd2-5c62297dfa2e
BIL0000024,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,2,2020-11-03,2020-11-16,152.61,152.61,Late,7.63,160.24,Online Payment,True,8933a0cb-3909-4e85-ad58-c4927363b971
BIL0000025,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,3,2020-12-03,2020-12-08,152.61,152.61,Paid,0.0,152.61,Online Payment,True,7e87cfaa-5756-4352-9903-6c5e98e6ecd9
BIL0000026,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,4,2021-01-02,2021-01-01,152.61,152.61,Paid,0.0,152.61,Online Payment,True,44b3108d-08d8-4755-a2b7-fb5c1273f71b
BIL0000027,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,5,2021-02-01,2021-02-02,152.61,152.61,Paid,0.0,152.61,Online Payment,True,599eb613-7765-492a-b82a-895e0888ccd5
BIL0000028,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,6,2021-03-03,2021-03-07,152.61,152.61,Paid,0.0,152.61,Online Payment,True,32898bf9-8b74-474f-8a5b-492a2dc7cf36
BIL0000029,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,7,2021-04-02,,152.61,0.0,Pending,0.0,152.61,,True,
BIL0000030,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,8,2021-05-02,2021-05-11,152.61,152.61,Paid,0.0,152.61,Online Payment,True,a231646f-bcc9-4d6b-9d67-644445e16230
BIL0000031,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,9,2021-06-01,2021-06-06,152.61,152.61,Paid,0.0,152.61,Online Payment,True,e56370e4-e595-4071-aaba-e264e65c74f1
BIL0000032,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,10,2021-07-01,2021-07-03,152.61,152.61,Paid,0.0,152.61,Online Payment,True,fee0fe62-41ae-4ed3-aba5-8623908f12ba
BIL0000033,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,11,2021-07-31,2021-08-04,152.61,152.61,Late,7.63,160.24,Online Payment,True,1dd3c0a5-0497-4104-9810-1f71848a2384
BIL0000034,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,12,2021-08-30,2021-09-03,152.61,152.61,Paid,0.0,152.61,Online Payment,True,cfb12631-6368-458f-b82b-916003a8331d
BIL0000035,POL006550,2fcd9bac-1fcf-4a93-ac80-6c72e7c989bb,13,2021-09-29,2021-09-30,152.61,152.61,Paid,0.0,152.61,Online Payment,True,6718c86d-07ce-49e3-aef6-866f740b5213
BIL0000036,POL000093,56b20cb4-68b8-4946-ac22-a458ea7bd4f2,1,2023-05-07,2023-05-14,3593.2799999999997,3593.2799999999997,Paid,0.0,3593.2799999999997,Bank Transfer,False,40c03178-4475-487b-b98c-ff3e5b699f0a
BIL0000037,POL000093,56b20cb4-68b8-4946-ac22-a458ea7bd4f2,2,2023-11-03,2023-11-07,3593.2799999999997,3593.2799999999997,Late,179.66,3772.9399999999996,Bank Transfer,False,f1f9295c-9a43-48af-9e10-9df8e77b60a6
BIL0000038,POL000093,56b20cb4-68b8-4946-ac22-a458ea7bd4f2,3,2024-05-01,2024-05-03,3593.2799999999997,3593.2799999999997,Paid,0.0,3593.2799999999997,Bank Transfer,False,669af575-43cf-40da-a8a9-79570f1a08c6
BIL0000039,POL003357,c2114c1f-8845-48f4-a4df-db7b7c692057,1,2024-11-20,2024-12-26,283.83,283.83,Overdue,28.38,312.21,Online Payment,False,6c5d4890-af99-493b-af88-cdf6dd92ff88
BIL0000040,POL003357,c2114c1f-8845-48f4-a4df-db7b7c692057,2,2025-02-18,2025-02-05,283.83,283.83,Paid,0.0,283.83,Online Payment,False,10825d66-c8e8-45c4-991c-6cddf7243f09
