policy_id,customer_id,agent_id,policy_type,policy_subtype,effective_date,expiration_date,renewal_date,policy_term_years,annual_premium,monthly_premium,payment_frequency,payment_method,coverage_level,policy_status,underwriting_grade,underwriting_score,is_loyalty_member,bundle_discount,discount_percentage,total_discount_amount,net_premium,auto_renewal,last_modified_date,policy_notes
POL000001,57fc965b-99c8-46d0-8eca-25b08ba5d750,AG0149,Renters,Premium,2021-06-12,2022-06-12,2025-06-11,1.0,1122.09,93.51,Monthly,Check,86,Active,C+,74,False,False,0,0.0,1122.09,False,2022-04-11,
POL000002,bc961800-b5ed-4e21-ac1e-05e267388751,AG0110,Health,Individual,2022-11-19,2023-11-19,2025-11-18,1.0,9612.41,801.03,Monthly,Check,52,Active,C,68,True,False,2,192.25,9420.16,True,2023-07-15,Eight score hair baby. Kid ask peace cause agreement available. Go accept their interview land.
POL000003,5726d0d3-0c23-4c9e-986e-ce433ae4d515,AG0102,Commercial,Property,2025-01-09,2026-01-09,2026-01-09,1.0,8245.76,687.15,Annual,Bank Transfer,69,Cancelled,C+,58,False,False,0,0.0,8245.76,True,2025-01-10,
POL000004,b5c88d13-8bec-4a5d-9f83-18fced0089e8,AG0080,Renters,Basic,2025-03-22,2026-03-22,2026-03-22,1.0,881.88,73.49,Semi-Annual,Check,52,Cancelled,C+,77,False,True,10,88.19,793.69,True,2025-05-15,
POL000005,2b9a1d52-cc7e-4c06-bdf9-d476398dde4c,AG0006,Renters,Premium,2021-06-02,2022-06-02,2025-06-01,1.0,743.19,61.93,Monthly,Online Payment,79,Active,D,57,False,True,15,111.48,631.71,True,2024-11-18,
POL000006,646c5d4a-7c6f-4a2d-ab9c-f9764f7e35ea,AG0013,Home,Premium,2023-12-16,2024-12-15,2025-12-15,1.0,3528.62,294.05,Quarterly,Check,63,Active,C,85,False,False,0,0.0,3528.62,True,2025-05-20,
POL000007,ccab95af-3e4d-42ba-9257-61a601ef67dd,AG0005,Health,Medicare Supplement,2023-07-15,2024-07-14,2025-07-14,1.0,12655.9,1054.66,Monthly,Bank Transfer,61,Active,A,74,False,False,0,0.0,12655.9,True,2023-08-02,
POL000008,a6579c6c-476d-4f94-be77-376fbdef5da6,AG0077,Auto,Comprehensive,2021-05-31,2022-05-31,2025-05-30,1.0,2169.02,180.75,Semi-Annual,Check,72,Active,B,78,True,False,2,43.38,2125.64,False,2022-06-20,
POL000009,db7b94fd-ef77-4e6c-8466-156dea884c78,AG0084,Health,Individual,2022-05-09,2023-05-09,2026-05-08,1.0,9921.85,826.82,Monthly,Credit Card,62,Active,C,73,True,False,2,198.44,9723.41,True,2024-07-10,
POL000010,c9feda0a-47e0-4211-9262-3b93e6e3ef9c,AG0001,Health,Individual,2023-03-25,2024-03-24,2026-03-24,1.0,9607.32,800.61,Quarterly,Online Payment,77,Lapsed,B,74,True,True,17,1633.24,7974.08,True,2025-05-08,
